曜日,会場,店名,ジャンル,メニュー,営業時間
月曜日,天王洲オーシャンスクエア,とらじゅ,和食（あなごめし）,あなごめし 小盛,11:30-14:00
月曜日,天王洲オーシャンスクエア,kitchen car.halu,唐揚げ（弁当・丼）,豚丼,11:30-14:00
火曜日,天王洲オーシャンスクエア,TAKICHI'sKITCHEN(銀座 多吉),和食（丼もの）,かつ丼,11:30-14:00
火曜日,天王洲オーシャンスクエア,コバチダイナー,肉料理（ローストビーフ丼/ハンバーグ）,北海道産牛の極ローストビーフ丼,11:30-14:00
水曜日,天王洲オーシャンスクエア,チェミール,創作どんぶり,タコライス,11:30-14:00
水曜日,天王洲オーシャンスクエア,ISLAND KITCHEN,ジャマイカ料理（ジャークチキン）,ジャークチキンボックス JERK CHICKEN BOX,11:30-14:00
木曜日,天王洲オーシャンスクエア,THE ROTISSERIE,ロティサリーチキン,ロティサリーチキンランチ,11:30-14:00
木曜日,天王洲オーシャンスクエア,MOON PHASE Tokyo,チキン料理（バーガー/オーバーライス等）,テキーラライムチキン,11:30-14:00
金曜日,天王洲オーシャンスクエア,FUNKY CHICKEN,鶏料理,ジンジャーチキン,11:30-14:00
金曜日,天王洲オーシャンスクエア,いきなりステーキ,ステーキ,サーロインステーキ弁当,11:30-14:00
月曜日,野村不動産天王洲ビル,curry & ricebowl totonoel,カレー・ライスボウル,チキンオーバーライス,11:30-14:00
月曜日,野村不動産天王洲ビル,キッチンぐりとふら,鶏料理・弁当（唐揚げ等）,サーモンフライのり弁,11:30-14:00
火曜日,野村不動産天王洲ビル,おばんざいバル つむぎ,おばんざい弁当,おばんざい屋のハヤシライス,11:30-14:00
火曜日,野村不動産天王洲ビル,encinitas-エンシニータス,ロティサリーチキン,1/4 ロティサリーチキンコンボ,11:30-14:00
水曜日,野村不動産天王洲ビル,ミラーン/MILLAN,南インドカレー,カレー 一種盛,11:30-14:00
水曜日,野村不動産天王洲ビル,yummy-E,ハワイアンフード・南国料理,ロコモコ,11:30-14:00
木曜日,野村不動産天王洲ビル,むら川,魚料理・海苔弁,サーモンのレアカツ海苔弁,11:30-14:00
木曜日,野村不動産天王洲ビル,KINNIKU KITCHEN LUCKY TIGER,ヘルシー系ライスボウル（チキン/ポーク）,チキンオーバーライスCHICKEN OVER RICE,11:30-14:00
金曜日,野村不動産天王洲ビル,O’s kitchen SABA,カレー（サバキーマ等）,キーマカレー,11:30-14:00
金曜日,野村不動産天王洲ビル,DearMyChicken,ジャークチキン・ブリトー,ジャークチキンBOX,11:30-14:00
